FileID,Northing (m),Easting (m),TVDSS (m),Umin (m),Uint (m),Umax (m),Azimuth Umax (deg),Elevation Umax (deg),relative ot (s),Confidence Index,SNR mean P,SNR mean S,Mw P,Mw S,Mw (calibrated),,
20230719_172727.460,4263051.64,335697.48,623.55,13.93,16.66,25.26,271.95,93.03,2.509,55,50,69,1.04,0.99,-0.13,,
20230719_175813.300,4263130.87,335685.91,582.41,12.95,14.89,36.60,89.39,91.14,2.508,41,18,13,0.57,0.62,-0.55,,
20230719_175832.800,4263136.72,335686.92,581.32,11.10,12.61,25.83,270.13,89.06,2.507,52,24,28,0.83,0.86,-0.30,,
20230719_180055.120,4263129.51,335684.66,579.15,13.23,13.90,36.91,90.08,91.58,2.554,76,71,108,1.15,1.28,0.07,,
20230719_182040.280,4263072.31,335672.38,582.81,13.93,20.88,25.04,68.38,90.32,2.459,34,23,15,0.56,0.60,-0.57,,
20230719_183600.700,4263047.71,335761.33,683.32,17.62,18.35,41.42,90.25,90.59,2.510,51,42,38,1.14,0.94,-0.11,,
20230719_183623.100,4263113.66,335764.96,677.48,14.41,15.79,30.06,271.60,91.00,2.515,52,41,32,1.00,0.79,-0.26,,
20230719_183924.280,4263125.94,335776.07,663.98,12.54,15.00,30.58,89.21,90.88,2.524,44,52,30,0.79,0.70,-0.41,,
20230719_184810.040,4263123.43,335740.45,672.16,13.53,16.26,43.43,269.98,88.45,2.481,42,42,21,0.62,0.63,-0.52,,
20230719_190923.700,4262982.36,335669.71,655.42,14.49,16.24,24.03,272.53,92.20,2.477,34,16,16,0.95,0.59,-0.38,,
20230719_191730.240,4263037.95,335636.69,638.77,11.09,13.83,26.19,79.85,91.51,2.497,47,32,29,0.70,0.66,-0.47,,
20230719_192119.580,4263121.29,335782.52,654.15,10.58,12.58,25.38,271.13,90.35,2.509,40,28,33,1.03,1.04,-0.12,,
20230719_192324.520,4263150.95,335688.47,610.71,13.39,18.18,25.64,78.13,88.86,2.469,29,19,12,0.30,0.46,-0.77,,
